('2023-01-26 00:39:01', 'hello from crontab')
('2023-01-26 00:40:02', 'hello from crontab')
('2023-01-26 00:41:01', 'hello from crontab')
('2023-01-26 00:42:01', 'hello from crontab')
('2023-01-26 00:43:01', 'hello from crontab')
('2023-01-26 00:44:01', 'hello from crontab')
('2023-01-26 00:45:01', 'hello from crontab')
('2023-01-26 00:46:01', 'hello from crontab')
('2023-01-26 00:47:01', 'hello from crontab')
('2023-01-26 00:48:01', 'hello from crontab')
('2023-01-26 00:49:01', 'hello from crontab')
('2023-01-26 00:50:01', 'hello from crontab')
('2023-01-26 00:51:01', 'hello from crontab')
('2023-01-26 00:52:01', 'hello from crontab')
('2023-01-26 00:53:01', 'hello from crontab')
('2023-01-26 00:54:01', 'hello from crontab')
('2023-01-26 00:55:01', 'hello from crontab')
('2023-01-26 00:56:02', 'hello from crontab')
('2023-01-26 00:57:01', 'hello from crontab')
('2023-01-26 00:58:01', 'hello from crontab')
('2023-01-26 00:59:01', 'hello from crontab')
('2023-01-26 01:00:01', 'hello from crontab')
